0.575148 0.428082 0.178400 

0.536410 0.467888 0.232622 


0.163106 0.997536 0.103641 

0.277891 0.498463 0.197672 


0.754828 0.466578 0.973380 

0.759437 0.657042 0.575847 


0.947060 0.874753 0.507792 

0.947060 0.874754 0.507792 


0.987424 0.977598 0.187951 

0.947060 0.874754 0.507792 


0.879688 0.859786 0.542370 

0.879688 0.859786 0.542370 


0.310702 0.489088 0.218395 

0.310702 0.489089 0.218395 


0.034780 0.174873 0.195589 

0.061844 0.171527 0.168545 


0.135634 0.039041 0.150323 

0.061844 0.171527 0.168545 


0.072044 0.275998 0.046919 

0.090722 0.273217 0.092325 


0.536410 0.467888 0.232622 

0.310702 0.489089 0.218395 


0.277891 0.498463 0.197672 

0.310702 0.489089 0.218395 


0.759437 0.657042 0.575847 

0.879688 0.859786 0.542370 


0.947060 0.874754 0.507792 

0.879688 0.859786 0.542370 


0.061844 0.171527 0.168545 

0.090722 0.273217 0.092325 


