#1 -> 6 (0.153760)
0.475063 0.169388 0.361093
0.355504 0.263468 0.383384


#2 -> 8 (0.296871)
0.351988 0.702128 0.478348
0.361848 0.412797 0.544093


#3 -> 7 (0.279702)
0.216507 0.142253 0.824860
0.374178 0.354403 0.733395


#4 -> 6 (0.162273)
0.224636 0.252345 0.288083
0.355504 0.263468 0.383384


#5 -> 7 (0.110917)
0.443593 0.405900 0.802909
0.374178 0.354403 0.733395


#6 -> 8 (0.219469)
0.355504 0.263468 0.383384
0.361848 0.412797 0.544093


#7 -> 8 (0.198487)
0.374178 0.354403 0.733395 
0.361848 0.412797 0.544093  


