"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2364289000000;13,220359482522209
0;1;0,2373027000000;13,36894412653708
0;3;0,2390326999999;13,35159421126779
0;8;0,2402833000000;12,921864158756063
1;0;0,3224452000000;12,921864158756063
2;0;0,82613926000000;12,871082989016512
2;1;0,82925651000000;12,871082989016512
2;4;0,83812527000000;12,871082989016512
2;8;0,84914907999999;12,871082989016512
2;13;0,86309967000000;12,871082989016512
2;17;0,87486089000000;12,871082989016512
2;23;0,89386015000000;12,871082989016512
2;88;0,107985252000000;12,871082989016512
3;23;0,143078135000000;12,871082923783953
3;88;0,149882063000000;12,871082923783953
4;23;0,163868915000000;12,871082923528979
4;88;0,170620344000000;12,871082923528979
5;23;0,184584049000000;12,871082923275963
5;88;0,191318381000000;12,871082923275963
6;23;0,205339683000000;12,871082923024898
6;88;0,212108727000000;12,871082923024898
7;23;0,226052416000000;12,871082922775762
7;88;0,232815625000000;12,871082922775762
8;23;0,246827304000000;12,871082922528536
8;88;0,253765006000000;12,871082922528536
9;23;0,267832212000000;12,871082922283211
9;88;0,274740721000000;12,871082922283211
10;23;0,288738817000000;12,871082922039768
10;88;0,295560398000000;12,871082922039768
11;23;0,309773248999999;12,871082921798191
11;88;0,316564958999999;12,871082921798191
12;23;0,330621309000000;12,871082921558461
12;88;0,337485284000000;12,871082921558461
13;23;0,351685273000000;12,871082921320567
13;88;0,358552582000000;12,871082921320567
14;23;0,372701981000000;12,871082921084495
14;88;0,379487313000000;12,871082921084495
15;23;0,393796006999999;12,871082920850224
15;88;0,400720446999999;12,871082920850224
16;23;0,414847492000000;12,871082920617745
16;88;0,421756580000000;12,871082920617745
17;23;0,435976373000000;12,871082920387042
17;88;0,442712528000000;12,871082920387042
18;23;0,457069503000000;12,871082920158094
18;88;0,463876390000000;12,871082920158094
19;23;0,477971921999999;12,871082919930895
19;88;0,484772780000000;12,871082919930895
20;23;0,498838150000000;12,871082919705426
20;88;0,505685583000000;12,871082919705426
