"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2335214000000;13,156960604813919
0;3;0,2350611000000;12,921864158756063
1;0;0,3537946000000;12,921864158756063
1;3;0,4872343999999;12,921864158756063
1;4;0,4991875000000;12,921864158756063
1;5;0,5823842000000;12,921864158756063
1;7;0,6732110000000;12,921864158756063
1;10;0,7849266000000;12,921864158756063
1;14;0,9089180000000;12,921864158756063
1;29;0,15401061000000;12,921864158756063
1;54;0,23977772000000;12,921864158756063
1;120;0,46630928999999;12,921864158756063
1;128;0,49223799999999;12,921864158756063
2;128;0,113822353000000;12,871082923796658
3;128;0,148257702000000;12,871082923540745
4;128;0,169898959000000;12,871082923286808
5;128;0,191487078000000;12,871082923034842
6;128;0,212932015999999;12,871082922784829
7;128;0,234532781000000;12,871082922536748
8;128;0,256148152000000;12,871082922290583
9;128;0,277992749000000;12,871082922046323
10;128;0,299621721000000;12,871082921803940
11;128;0,321360236999999;12,871082921563434
12;128;0,342799379000000;12,871082921324779
13;128;0,364467821000000;12,871082921087959
14;128;0,386309414000000;12,871082920852962
15;128;0,407994155000000;12,871082920619773
16;128;0,429774873999999;12,871082920388378
17;128;0,451478207000000;12,871082920158757
18;128;0,473074538000000;12,871082919930897
19;128;0,494990441999999;12,871082919704786
20;128;0,516621748000000;12,871082919480407
