"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,1133378000000;2,837752733231290
0;1;0,1151606000000;2,793135150992764
0;2;0,1159191000000;2,729221739423360
0;56;0,1261344000000;2,729221739423359
1;0;0,1734231000000;2,729221739423359
2;0;0,27735767000000;2,714818179584399
3;0;0,43838423000000;2,714818179504216
4;0;0,57744648000000;2,714818179425431
5;0;0,68809793000000;2,714818179348018
6;0;0,80680788000000;2,714818179271949
7;0;0,93445471000000;2,714818179197201
8;0;0,105331241000000;2,714818179123745
9;0;0,118051015000000;2,714818179051561
10;0;0,131785942000000;2,714818178980623
