"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2542846000000;13,35159421126779
0;9;0,2574304000000;12,921864158756063
1;0;0,3761243999999;12,921864158756063
1;2;0,4186108000000;12,921864158756063
1;9;0,7244582000000;12,921864158756063
1;10;0,7371512000000;12,921864158756063
1;14;0,8609002000000;12,921864158756063
1;17;0,9265521999999;12,921864158756063
2;0;0,79009716000000;12,871082969924728
2;2;0,79625908999999;12,871082969924728
2;3;0,80176495000000;12,871082969924728
3;3;0,136390351000000;12,871082923778445
4;3;0,156258795000000;12,871082923523552
5;3;0,177144606000000;12,871082923270626
6;3;0,197634030999999;12,871082923019640
7;3;0,218102646999999;12,871082922770588
8;3;0,238889303999999;12,871082922523441
9;3;0,259400450000000;12,871082922278196
10;3;0,279732892000000;12,871082922034831
11;3;0,301647976000000;12,871082921793329
12;3;0,322394764000000;12,871082921553677
13;3;0,342351440000000;12,871082921315859
14;3;0,363009838000000;12,871082921079857
15;3;0,384131425999999;12,871082920845660
16;3;0,404648039000000;12,871082920613250
17;3;0,425383095000000;12,871082920382612
18;3;0,445869333999999;12,871082920153736
19;3;0,466185167000000;12,871082919926607
20;3;0,487242188999999;12,871082919701201
