"Instancia";"custo minimo";"tempo decorrido";"ultima atualizacao do gbest";"vetor de topologia"
4.3d1;1,213356699473999;0,69891235000000;13;De: 0 - Para: 4 - Peso: 0
 De: 1 - Para: 5 - Peso: 0
 De: 2 - Para: 5 - Peso: 0
 De: 3 - Para: 4 - Peso: 0
 De: 4 - Para: 5 - Peso: 0
 

