"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2428145000000;12,921864158756063
1;0;0,3334623000000;12,921864158756063
1;1;0,3466608999999;12,921864158756063
1;3;0,4422701000000;12,921864158756063
1;6;0,5448951000000;12,921864158756063
1;9;0,6261883999999;12,921864158756063
1;38;0,20562410000000;12,921864158756063
2;2;0,84282015000000;12,871082926431989
3;2;0,140033380000000;12,871082923778209
3;73;0,147125827999999;12,871082923778209
4;2;0,160185138000000;12,871082923520859
4;73;0,167306061000000;12,871082923520859
5;2;0,180056685000000;12,871082923261063
5;73;0,187079149000000;12,871082923261063
6;2;0,200028348000000;12,871082923005783
6;73;0,207165470999999;12,871082923005783
7;2;0,220245314000000;12,871082922754109
7;73;0,227541424000000;12,871082922754109
8;2;0,240636427000000;12,871082922507304
8;73;0,247745165000000;12,871082922507304
9;2;0,260706823000000;12,871082922263514
9;73;0,267857009000000;12,871082922263514
10;2;0,280818273000000;12,871082922021966
10;73;0,287953175000000;12,871082922021966
11;2;0,300755215000000;12,871082921782296
11;73;0,307874918000000;12,871082921782296
12;2;0,320927557000000;12,871082921544355
12;73;0,328202943000000;12,871082921544355
13;2;0,341137464000000;12,871082921308062
13;73;0,348298079000000;12,871082921308062
14;2;0,361276914999999;12,871082921073387
14;73;0,368379985000000;12,871082921073387
15;2;0,381191317000000;12,871082920840319
15;73;0,388433731000000;12,871082920840319
16;2;0,401416768999999;12,871082920608861
16;73;0,408463175999999;12,871082920608861
17;2;0,421375257000000;12,871082920379022
17;73;0,428890046000000;12,871082920379022
18;2;0,441855778000000;12,871082920150801
18;73;0,449030058999999;12,871082920150801
19;2;0,461938896999999;12,871082919924207
19;73;0,469046831000000;12,871082919924207
20;2;0,481908021000000;12,871082919699247
20;73;0,489013830000000;12,871082919699247
