"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2348024000000;14,123666142986886
0;2;0,2362379000000;13,738613267117754
0;3;0,2370868000000;12,921864158756063
1;1;0,3199560000000;12,921864158756063
1;2;0,4015196999999;12,921864158756063
1;3;0,4480275000000;12,921864158756063
1;5;0,4825883000000;12,921864158756063
1;8;0,6472332000000;12,921864158756063
1;12;0,8916414000000;12,921864158756063
1;38;0,19591992000000;12,921864158756063
2;7;0,90312633999999;12,871082923954412
2;38;0,99136833000000;12,871082923954412
3;7;0,148402704000000;12,871082923695581
3;38;0,151474630000000;12,871082923695581
4;7;0,168206032000000;12,871082923438787
4;38;0,171273557000000;12,871082923438787
5;7;0,189897635000000;12,871082923184008
5;38;0,194345114000000;12,871082923184008
6;7;0,211182714999999;12,871082922931231
6;38;0,214334477999999;12,871082922931231
7;7;0,232453040999999;12,871082922680434
7;38;0,235531695000000;12,871082922680434
8;7;0,252678283000000;12,871082922431607
8;38;0,255787437999999;12,871082922431607
9;7;0,274733941000000;12,871082922184727
9;38;0,278634756000000;12,871082922184727
10;7;0,295517333000000;12,871082921939777
10;38;0,298633093000000;12,871082921939777
11;7;0,316865617000000;12,871082921696743
11;38;0,319986975000000;12,871082921696743
12;7;0,337116788999999;12,871082921455609
12;38;0,340296948000000;12,871082921455609
13;7;0,358637869000000;12,871082921216356
13;38;0,361779478000000;12,871082921216356
14;7;0,380128366000000;12,871082920978969
14;38;0,383248728000000;12,871082920978969
15;7;0,400259700000000;12,871082920743427
15;38;0,403383765000000;12,871082920743427
16;7;0,421621198000000;12,871082920509724
16;38;0,424800205000000;12,871082920509724
17;7;0,442522715999999;12,871082920277835
17;38;0,446229321000000;12,871082920277835
18;7;0,464654208000000;12,871082920047756
18;38;0,467795521000000;12,871082920047756
19;7;0,484702376999999;12,871082919819455
19;38;0,487871058000000;12,871082919819455
20;7;0,506026660000000;12,871082919592931
20;38;0,509136575999999;12,871082919592931
