"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,1202523000000;2,890432074498064
0;2;0,1209999000000;2,875149063328513
0;4;0,1215888000000;2,848828988739300
0;7;0,1223789000000;2,777536213587239
0;21;0,1251094000000;2,757711860718873
0;28;0,1265286000000;2,730577666457032
0;39;0,1286885000000;2,725253415276655
1;0;0,1613559000000;2,725253415276655
1;2;0,2327709000000;2,725253415276655
1;3;0,2540551000000;2,725253415276655
1;5;0,3064924000000;2,725253415276655
1;8;0,3711029000000;2,725253415276655
1;12;0,4760354000000;2,725253415276655
1;15;0,5583668000000;2,725253415276655
1;49;0,13475561000000;2,725253415276655
1;62;0,15978361000000;2,725253415276655
2;23;0,26667136000000;2,714818179632939
2;49;0,30093608000000;2,714818179632939
2;62;0,31636878000000;2,714818179632939
3;23;0,39486660000000;2,714818179551738
3;49;0,43363811000000;2,714818179551738
3;62;0,45932825000000;2,714818179551738
4;23;0,57402830000000;2,714818179471944
4;49;0,62591395000000;2,714818179471944
4;62;0,64889781000000;2,714818179471944
5;23;0,72675867000000;2,714818179393536
5;49;0,76112853000000;2,714818179393536
5;62;0,77737383000000;2,714818179393536
6;23;0,85018444000000;2,714818179316488
6;49;0,88115622000000;2,714818179316488
6;62;0,89737258000000;2,714818179316488
7;23;0,97375998000000;2,714818179240779
7;49;0,101004086000000;2,714818179240779
7;62;0,102610735000000;2,714818179240779
8;23;0,111167428000000;2,714818179166382
8;49;0,114450252000000;2,714818179166382
8;62;0,116063425000000;2,714818179166382
8;72;0,117328872000000;2,714818179166382
8;90;0,120097919000000;2,714818179166382
9;23;0,124347585000000;2,714818179089694
9;49;0,127720552000000;2,714818179089694
9;62;0,129701156000000;2,714818179089694
9;72;0,130975231000000;2,714818179089694
9;90;0,133489282000000;2,714818179089694
10;23;0,138671148000000;2,714818179009113
10;72;0,145069276000000;2,714818179009113
10;73;0,145213596000000;2,714818179009113
