"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2711966999999;12,921864158756063
1;0;0,3601620000000;12,921864158756063
1;2;0,3973438000000;12,921864158756063
1;9;0,7559759000000;12,921864158756063
1;123;0,50513941999999;12,921864158756063
2;0;0,82714792999999;12,871082969924728
2;4;0,83867010999999;12,871082969924728
2;91;0,108664887000000;12,871082969924728
2;98;0,110922695000000;12,871082969924728
3;91;0,148861497000000;12,871082923779926
3;98;0,149555200999999;12,871082923779926
4;91;0,168513243000000;12,871082923525012
4;98;0,169195013000000;12,871082923525012
5;91;0,187903687000000;12,871082923272062
5;98;0,188602106999999;12,871082923272062
6;91;0,207730385999999;12,871082923021054
6;98;0,208412656000000;12,871082923021054
7;91;0,227173001999999;12,871082922771979
7;98;0,227852428999999;12,871082922771979
8;91;0,246810873999999;12,871082922524811
8;98;0,247496619000000;12,871082922524811
9;91;0,266299512000000;12,871082922279546
9;98;0,266980728000000;12,871082922279546
10;91;0,285781184000000;12,871082922036155
10;98;0,286462495000000;12,871082922036155
11;91;0,305345656000000;12,871082921794630
11;98;0,306028980000000;12,871082921794630
12;91;0,325586834000000;12,871082921554958
12;98;0,326378105000000;12,871082921554958
13;91;0,346077553000000;12,871082921317119
13;98;0,346789521000000;12,871082921317119
14;91;0,366026112000000;12,871082921081100
14;98;0,366712128000000;12,871082921081100
15;91;0,385629136000000;12,871082920846879
15;98;0,386322339000000;12,871082920846879
16;91;0,405207371000000;12,871082920614453
16;98;0,405891640000000;12,871082920614453
17;91;0,424779580999999;12,871082920383793
17;98;0,425464618000000;12,871082920383793
18;91;0,444577021999999;12,871082920154897
18;98;0,445261931000000;12,871082920154897
19;91;0,464149644999999;12,871082919927749
19;98;0,464833940000000;12,871082919927749
20;91;0,483730928000000;12,871082919702328
20;98;0,484415286000000;12,871082919702328
