"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,2223397000000;2,962354367338635
0;1;0,2240195000000;2,926519585936595
0;4;0,2251620000000;2,757711860718873
0;18;0,2281517000000;2,729221739423359
0;84;0,2408560000000;2,728285931707013
0;124;0,2500882000000;2,725253415276655
0;154;0,2575837000000;2,716588034144270
1;6;0,4924117000000;2,716588034144270
1;34;0,11880222000000;2,716588034144270
1;117;0,36319823000000;2,716588034144270
2;89;0,92853476000000;2,710530409258265
2;121;0,100115757000000;2,710530409258265
2;180;0,116397034000000;2,710530409258265
3;6;0,121015193000000;2,710530409114475
3;44;0,126630498000000;2,710530409114475
3;69;0,129758914000000;2,710530409114475
3;91;0,132367545000000;2,710530409114475
3;121;0,135820392000000;2,710530409114475
3;180;0,143114645000000;2,710530409114475
4;6;0,146212382000000;2,710530409006551
4;9;0,146734541000000;2,710530409006551
4;17;0,147873706000000;2,710530409006551
4;44;0,151344129000000;2,710530409006551
4;181;0,167592568000000;2,710530409006551
4;185;0,168065839000000;2,710530409006551
4;194;0,169137429000000;2,710530409006551
5;6;0,170737442000000;2,710530408855591
5;15;0,171783277000000;2,710530408855591
5;17;0,172024863000000;2,710530408855591
5;44;0,175135690000000;2,710530408855591
5;181;0,193653327000000;2,710530408855591
5;194;0,195212153000000;2,710530408855591
5;195;0,195403419000000;2,710530408855591
6;6;0,196826112000000;2,710530408689992
6;15;0,197962902000000;2,710530408689992
6;17;0,198212319000000;2,710530408689992
6;43;0,201496873000000;2,710530408689992
6;44;0,201623490000000;2,710530408689992
6;195;0,219649413000000;2,710530408689992
7;44;0,225891740000000;2,710530408596931
7;195;0,243887335000000;2,710530408596931
8;44;0,251330543000000;2,710530408542382
9;44;0,277472370000000;2,710530408503113
9;139;0,289463989000000;2,710530408503113
10;44;0,303178568000000;2,710530408427521
10;139;0,314956381000000;2,710530408427521
10;181;0,319783343000000;2,710530408427521
10;185;0,320279019000000;2,710530408427521
10;195;0,321540848000000;2,710530408427521
11;44;0,327343633000000;2,710530408358574
11;139;0,339169897000000;2,710530408358574
12;44;0,353873255000000;2,710530408312764
12;139;0,365088503000000;2,710530408312764
12;140;0,365233662000000;2,710530408312764
12;154;0,367210202000000;2,710530408312764
12;181;0,370487994000000;2,710530408312764
12;185;0,370973820000000;2,710530408312764
12;195;0,372167726000000;2,710530408312764
13;44;0,378478481000000;2,710530408239965
13;139;0,389703791000000;2,710530408239965
13;181;0,394703721000000;2,710530408239965
13;185;0,395170826000000;2,710530408239965
13;195;0,396418544000000;2,710530408239965
14;44;0,403223238000000;2,710530408203566
15;44;0,428451381000000;2,710530408177834
15;140;0,439730550000000;2,710530408177834
15;181;0,445294348000000;2,710530408177834
15;195;0,446942359000000;2,710530408177834
16;139;0,464728176000000;2,710530408131170
16;140;0,464868631000000;2,710530408131170
16;181;0,469688628000000;2,710530408131170
16;195;0,471401894000000;2,710530408131170
17;44;0,477047648000000;2,710530408104977
17;139;0,488316999000000;2,710530408104977
18;44;0,503725407000000;2,710530408083182
18;139;0,515193594000000;2,710530408083182
18;140;0,515335289000000;2,710530408083182
18;195;0,523531016000000;2,710530408083182
19;44;0,529587838000000;2,710530408035899
19;139;0,541238297000000;2,710530408035899
19;140;0,541376618000000;2,710530408035899
20;44;0,555254175000000;2,710530408007338
20;155;0,568279110000000;2,710530408007338
20;158;0,568633185000000;2,710530408007338
