"Instancia";"custo minimo";"tempo decorrido";"ultima atualizacao do gbest";"vetor de topologia"
10.3d1;2,862503586208220;0,64707803999999;7;De: 0 - Para: 4 - Peso: 0
 De: 1 - Para: 4 - Peso: 0
 De: 2 - Para: 5 - Peso: 0
 De: 3 - Para: 5 - Peso: 0
 De: 4 - Para: 5 - Peso: 0
 

