"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,1129416000000;3,358204413478848
0;2;0,1145620000000;3,23840272584321
0;4;0,1152717000000;2,730577666457032
0;50;0,1282984000000;2,729221739423360
1;0;0,1680971000000;2,729221739423360
1;4;0,3101508000000;2,729221739423360
1;9;0,4320520000000;2,729221739423360
2;9;0,30623029000000;2,710530409258432
2;89;0,43377660000000;2,710530409258432
3;4;0,45975531000000;2,710530409119173
3;89;0,56701224000000;2,710530409119173
4;4;0,58454389000000;2,710530409017434
4;39;0,62362564000000;2,710530409017434
5;4;0,69877705000000;2,710530408919668
5;24;0,72202252000000;2,710530408919668
5;51;0,76501425000000;2,710530408919668
5;82;0,80304337000000;2,710530408919668
6;4;0,82914993000000;2,710530408760484
6;24;0,86075136000000;2,710530408760484
6;51;0,91108360000000;2,710530408760484
6;65;0,93100228000000;2,710530408760484
7;4;0,98007645000000;2,710530408668097
7;24;0,100638857000000;2,710530408668097
7;39;0,103057962000000;2,710530408668097
7;51;0,105587867000000;2,710530408668097
7;65;0,108120901000000;2,710530408668097
7;74;0,109264338000000;2,710530408668097
7;80;0,110062308000000;2,710530408668097
7;82;0,110328205000000;2,710530408668097
8;51;0,120217113000000;2,710530408550615
8;74;0,122939922000000;2,710530408550615
8;82;0,123883835000000;2,710530408550615
9;51;0,131936374000000;2,710530408487811
9;74;0,135088605000000;2,710530408487811
9;82;0,136017324000000;2,710530408487811
10;74;0,146616686000000;2,710530408452610
10;82;0,147893411000000;2,710530408452610
