"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,1567199999999;1,329148346528018
0;2;0,1571323000000;1,303929144448789
0;3;0,1574107000000;1,236562597160911
0;8;0,1578668999999;1,236519660430279
0;9;0,1581023999999;1,225310176164600
0;73;0,1614751000000;1,222380873605313
0;129;0,1644624999999;1,221838021124059
0;135;0,1649160000000;1,215823433926904
1;0;0,1717394999999;1,215823433926904
1;3;0,1799689000000;1,215823433926904
1;7;0,1903561999999;1,215823433926904
2;7;0,6629842999999;1,213356699473999
8;3;0,22893112000000;1,213356699473999
